"Reference","Value","Footprint","LCSC","Digikey","Mouser"
"F1","3557-2","_PS_LIB_CON:Fuse Holder Littelfuse ATOF 287","","36-3557-2-ND",""
"J1,J2","MKDS_3-2_5.08","_PS_LIB_CON:MKDS_3_2_508","","277-1027-ND",""
"SW1","L102011MS02Q","_PS_LIB_MECH:L10101_Schiebeschalter","","CKC5106-ND",""
