"Reference","Value","Footprint","LCSC"
"F1","Fuse Socket","_PS_LIB_CON:Fuse Holder Littelfuse ATOF 287",""
"J1","MKDS 3-2 5.08","_PS_LIB_CON:MKDS_3_2_508",""
"J3","MKDS 3-3 5.08","_PS_LIB_CON:MKDS_3_3_508",""
"SW1","L101011MS02Q","_PS_LIB_MECH:L10101_Schiebeschalter",""
